"","X","lyrics","song","year","album","peak","us_pop","us_rnb","decade","chart_level","charted"
"77",408,"excuse me but i need a mouth like yours to help me forget the girl that just walked out my door funny but it seems that you are alone like me if you are go let come see what we can see ooh  little darlin  if you are free for a couple of hours  free for a couple of hours  if you ai not busy for the next 7 years  next 7 years  say  let pretend we are married and go all night there ai not nothin  wrong if it feels all right i will not stop until the morning light let pretend we are married and go all night  tonight ooh we sha sha coo coo yeah all the hippies sing together excuse me but i need your chemistry do not you wanna be my fantasy  my girl gone and she do not care at all and if she did so what  c amon baby  let ball ooh little darlin  if you are free for a couple of hours  free for a couple of hours  if you ai not busy for the next 7 years  next 7 years  oh i say let pretend we are married and go all night there ai not nothin  wrong if it feels all right i will not stop until the morning light let pretend we are married and go all night  tonight ooh we sha sha coo coo yeah all the hippies sing together let just pretend we are married  tonight excuse me but i need a mouth like yours to help me forget the girl that just walked out my door let pretend we are married and do it all night i will not stop until the morning light let pretend we are married and go all night ooh  little darlin  if you are free for a couple of hours  free for a couple of hours  if you ai not busy for the next 7 years  next 7 years  oh darlin   let pretend we are married and go all night there ai not nothin  wrong if it feels all right i will not stop until the morning light let pretend we are married and go all night  tonight ooh we sha sha coo coo yeah pretend we are married let pretend we are married ooh we sha sha coo coo yeah all the hippies sing together ooh we sha sha coo coo yeah oh everybody yeah ooh we sha sha coo coo yeah all the hippies sing together ooh we sha sha coo coo yeah yeah  yeah my girl gone and she do not care at all and if she did so what  c amon baby  let ball i wanna   you so bad it hurts  it hurts  it hurts i wanna  i wanna  i wanna  i wanna  i wanna  i wanna  i wanna   you yeah  i wanna  i wanna  i wanna wanna  i wanna   you look here marsha  i am not sayin  this just to be nasty i sincerely wanna   the taste out of your mouth can you relate  my girl gone and she do not care at all and if she did i would not care  let ball whatever you heard about me is true i change the rules and do what i wanna do i am in love with god  he the only way  cuz you and i know we gotta die some day if you think i am crazy  you are probably right but i am gonna have fun every   in  night if you like to fight  you are a double drag fool i am goin  to another life  how  bout you ","lets pretend were married",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"78",507,"come here  baby come and get your  come on oh  i see this is what you wanted one kiss at a time  i got to be  i got to be up on it if i want to make you mine this is something every girl should know every part of you comes alive when you take it slow and every nervous twitch that happens when my tongue is there your lips  up and down your back and every single hair it all makes up the beauty of your grand design every man has got a duty and tonight i want to do mine  oh  i see  oh  i see this is what you wanted one kiss at a time  i got to be  i got to be up on it  yeah if i want to make you mine this is something every man should see give your woman what she wants and give her what she needs  what she needs  what she needs  what she needs  ask her in a whisper that only two can hear what can i do  what can i say  baby  forget your every single fear slowly i pull your strap down and touch you as if to heal  heal  layer by layer  inch by inch  until your true love is revealed oh  i see  ooh  this is what you wanted  baby one kiss at a time i got to be  i got to be up on it if i want to make you mine if every man could love their woman the way that i love you time would stop and the sky would fall and all could see the glory of what true love can bring that what i sing  oh  i see  oh  i see  mmm  this is what you wanted one kiss at a time i got to be on my knees  i  i  i  i gotta please if i want to make you mine only  only  only way to get your come on  all night long one kiss at a time  and i know that right   i gotta stay  i gotta stay  good and long  now come on  on this valentine come on  come and get your come on  get your come on  baby one kiss at a time come on  baby  let get this on one kiss at a time uh  huh  yeah one kiss at a time one kiss at a time","one kiss at a time",1996,"Emancipation",NA,NA,NA,"1990s","Uncharted","Uncharted"
"79",383,"he like to frequent this club down up on 36th pimps and thangs like to hang outside cuss for kicks talking to no one in particular they say   the baddest  i am tonight  four letter words are seldom heard with such dignity and bite all the poets and the part time singers always hang inside live music from a band plays a song called  soul psychodelicide  the song a year long and had been playing four months when he walked into the place no one seemed to care  an introverted  this is it  look on most of their faces up on the mic repeating two words over and over again was this woman he had never noticed before he lost himself in the articulated manner in which she said them these two words a little bit behind the beat i mean just enough to turn you on for everytime she said the words another one of his doubts were gone should he try to rap with her  should he stand and stare  no one else was watching her she did not seem to care so over and over  she said the words  til he could take no more he dragged her from the stage  together they ran through the back door in the alley over by the curb he said   tell me  what your name   she only said the words again and it started to rain two words falling between the drops and the moans of his condition holding someone is truly believing that there joy in repetition there joy in repetition there joy in repetition there joy in repetition there joy in repetition she said  love me  love me  what she say  she said  love me  love me  joy  why do not you love me  baby  joy  why can not you love me  baby  joy  come on and love me  baby  joy  alright joy  alright joy  alright joy  all of my wishes add up to one    joy  love me  joy  love me  joy love me  joy  love me  love me  joy joy  joy  in repetition  joy joy  joy  repetition  joy love me  joy  love me  joy joy  joy     love me  joy in repetition  joy  and i am gonna say it again joy  joy  and i am gonna say it again joy  i would like 2 go way up high and say   love me   joy i will say   love me   joy joy  joy in repetition  joy in repetition there joy in repetition","joy in repetition",1990,"Graffiti Bridge",NA,NA,NA,"1990s","Uncharted","Uncharted"
"80",236,"prince miscellaneous forever in my live la da da da da da da da la da da da da da da da there comes a time  in every man life when he get tired of foolin  around juggling hearts in a three ring circus someday will drive a body down 2 the ground i never imagined that love would rain on me and make me want 2 settle down baby it true  i think i do and i just wanna tell u that i wanna with u  baby  if u do 2  and baby if u do 2 forever  forever  baby i want u forever i wanna keep u 4 the rest of my life  u can make right  all that is wrong in my world  u are my saviour  u can make right  u are my light  u are my saviour  u are my light  forever i want u in my life  forever i want u in my life  la da da da da da da da   la da da da da da   every man journey  there comes a road in every man journey  do not be afraid  a road that he afraid 2 walk on his own  i am at that road  i am here 2 tell u that i am at that road  i would rather walk it with  and i would rather walk it  u than walk it alone  with u than walk it alone  u are my future  u are my hero  u are my future  no past  when i am with u  i have no past oh baby my one and only desire  make this feelin  last  is find some way in this doggone world  sugar it true  2 make this feelin  last  i know i do  oh baby it true  i know i do  2 with u  and i just wanna tell u that i  want 2 with u  yeah and baby if u do 2 forever  forever  i want u baby  baby forever  u can make right  i wanna keep u 4 the rest of my life  u are my saviour  all that is wrong in my world  u are my light  u can make right  forever i want u in my life  u are my saviour  u are my light  la da da da da da da da   forever i want u in my life  la da da da da da da da  la da da da da da da da la da da da da da forever in my life  repeated to fade ","forever in my live",NA,"Other Songs",NA,NA,NA,NA,"Uncharted","Uncharted"
"81",796,"sweet dreams so fair she looked tonight the brightest star appeals to your sex before we do anything let me just talk to you when 2 r in love they whisper secrets only they 2 can hear when 2 r in love when 2 r in love their stomachs will pound every time the other comes near when 2 r in love when 2 r in love falling leaves will appear to them like slow motion rain slow motion  slow motion when 2 r in love the speed of their hips can be faster than a runaway train drop  drop  drop  drop  water  water  water come bathe with me let drown each other in each others emotions bathe with me let cover each other with perfume and lotion bathe with me ooh  and let me touch your body  til your river an ocean bathe with me let kiss with one synonymous notion nothing forbidden and nothing taboo when the 2 r in love can you hear me  when 2 r in love their bodies shiver at the mere contemplation of penetration let alone the actual act  act when 2 r in love the thought of his tongue in the v of her love in his mind this thought it leads the pack come bathe with me let drown each other in each others emotions bathe with me let cover each other with perfume and lotion bathe with me ooh  and let me touch your body  til your river an ocean bathe with me let kiss with one synonymous notion that nothing forbidden and nothing taboo when the 2 r in love in love  can you hear me  hold me  yeah  just like that do not move","when 2 r in love",1994,"Black Album",NA,NA,NA,"1990s","Uncharted","Uncharted"
"82",332,"prince lovesexy i no rain is wet and sugar is sweet  clap your hands and stomp your feet  everybody  everybody knows  when love calls  u gotta go   i know   repeat in bg   welcome 2 the new power generation  the reason why my voice is so clear  is there no smack in my brain   this soul belongs to god   hundalasiliah   i know there is a heaven  i know there is a hell  listen 2 me people  i got a story 2 tell  i know there was confusion  lightnin  all around me  that when i called his name  do not u know he found me   no    is what spooky electric say  it not ok  no    but i know that love is the only way till my dyin  day  no    till my dyin  day i will be ok  cuz lovesexy is the one till my day is done  hundalasiliah   yeah oh    i know there is a devil because he talks so loud  he makes u do things your friends do  do what your friends do   hang out with the crowd  but my lord  he so quiet when he calls your name  when u hear it your heart will thunder  u will wanna hear it every day  no   people    is what spooky electric say  tell me  what would he say    no    but do not u know that i know love is the only way till my dyin  day  no    till my dyin  day i will be ok  cuz lovesexy is the one till my day is done  hundalasiliah   alright y all  everybody in the house  serve it up  frankie   here what i want u 2 do  ooh child    raise your hand up straight in the air  swing it 2 the right  savoir faire  up on the 2  swing on the 4  everybody on the dance floor   shout    ho     repeat   sho nuff  y all ai not got it  u are dead   go ahead  x4    frankie  play    raise your hand up straight in the air  i know    put your hand up   x2   alright y all  come on  uh  yeah   say no   no    if u can not find your way  everybody say  say no   no    if u are afraid  everybody ai not got it made   if u are lookin 4 the crown  come on y all   say no   no    if u want a drug other than the god above  say it   no    if u need a drink every single day  sing it   then blow that devil away    say yes   yes    if u want this feeling called love   oh yeah  come on  y all   say it   yes    if u want it now raise your hand 2 the man above   y all 2  i gotta say it   yes    up on the 2  swing right on the 4   it alright  it alright   yes    we want everybody 2 open this door   come on   yeah   if u do not wanna live life under the gun  i know   we know a better way 2 have some fun  i know   i know there is a heaven and a hell  i know there is a heaven and a hell","i no",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"83",614,"prince the beautiful experience sexy staxaphone and guitar sexy staxaphone and guitar  controversy music   1994                             could u be the most beautiful girl in the world so beautiful  beautiful it plain 2 see  yeah  u are the reason that god made a girl could u be","sexy staxaphone and guitar",NA,"Other Songs",NA,NA,NA,NA,"Uncharted","Uncharted"
"84",338,"prince miscellaneous i wish u heaven  part 1 2   3  doubts of our conviction follow where we go  and when the world compassion ceases  still i know  4 your every touch i thank u so much  4 your every kiss i     i wish u love  i wish u heaven  x2   if i see 11  u can say it 7  still i wish u heaven  i wish u love  i wish u heaven  x2   la  la  la  la  la  do  do  do  do  do  la  la  la  la  la  do  do  do  do  do  la  la  la  la  la  i wish u heaven  x8    we wish u heaven   excellent  this is excellent  cool  cool   this is so cool  this is so cool   tell me who in this house know about sweet heaven  we do    fishtail  i said   really    really   if u know about love  say    yeah   yeah    i wish u heaven  x2    if u wanna go 2 heaven  say      oh yeah   oh yeah    if anybody in the house wanna sing  here a chance 2 do your thing  everybody  everybody get ready  y all     sing   heaven  yeah   heaven  yeah    x2   heaven  sugar baby   heaven  sugar baby    heaven  yeah   heaven  yeah    hold my hand  i am strong with u  when u are quality band  i adore all of u  the way we love is what brought us 2gether  dreams of above  the water much wetter  when words of compassion ceases 2 exist  my band do not see me still get a kiss  the heavens above  the heavens above  everybody sing 4 the heavens above  heaven  yeah   heaven  yeah    heaven  sugar baby   heaven  sugar baby    heaven  oh yes   heaven  oh yes    heaven  sugar baby   heaven  sugar baby    check it out   yes lord  i love it  i love it  yeah   if we wanted 2  we could slam all comers  slam all comers  sheila   yeah   have the choir hit a long note  x2    heaven   yeah  say hello 2 my little friend  the blue angel   oh my god  look at that guitar   that right   la  la  la  la  la  la  la   la  la  la  la  la  la  la  la  la  la  la  la   la  la  la  la  la  la  la  la  la  la  la  la  la  la   la  la  la  la  la  la  la  la  la  la   on the 1 y all  heaven  yeah   heaven  yeah    i     take this beat  i do not mind  i got plenty others and they so fine  i said take this beat  i do not mind  i got plenty others and they so fine  take my coffee  but do not u touch my    make me holler  make me s   your sister ugly  that the truth  she pees in the backyard  sleep on the roof  take this beat  u know u need it  i give u a white dove  why nt u feed it   i wish u heaven  x2    i gave u sweet love  u put it in the corner  gave u candy  u say u do not want it  take this beat  i do not mind  lord   i got plenty others and they so fine  take this    take this beat  teal blue overcoat on my back   67 t bird  heart attack  i got peace sign sneakers  pleated slacks  do not   with me  i will slap yo  ass   take this beat  i do not mind  i got plenty others and they so fine  take this beat  i do not mind  i got plenty others and they so fine  they so fine  x2   they so fine  so fine  i do not mind   oh lord   gil  gilbert  get the keys  u gonna have 2 drive  i can not  oh lord   let get outta of here  i wish u heaven  repeat ","i wish u heaven part 12  3",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"85",805,"big white mansion  top of the road latest fashion  happy  do not you know  here i am in new york  yeah see the girl bold and fair  yo  anita  what in your backpack today  will it take my blues away  that okay  you gotta run huh  check it  i do not need you to have some fun comin  from the land of snow i guess i am kinda used to cold but one day i will have a big white mansion at the top of the road i am gonna wear the latest fashion i am gonna be happy  do not you know  i could use a new guitar  sing a tune at chazz bar maybe meet a debutante be a toy  do what she want  tell me  what you wanna do   nine  o  clock  see john k but you do not rock  come another day  when   come another day spirit so low reachin  up for ground  reachin  up for ground  one day i am gonna make it in this lonely town then i will live in a big white mansion at the top of the road i am gonna wear the latest fashion then i will be happy  do not you know  hey  there  what your name   what your name  cutie   and can you tell me how to play the game   i am a winner  listen to this  do i really have to cut my hair   no  now  that a cross i could never bear  how  bout them publishing rights   sell my publishing  what a laugh  ha  ha  i do not know bo  but i do know math  i do know math  back to minneapolis  there you go you can not find your house underneath the snow  cuz you are livin  in a big white mansion  oh  yes  at the top of the road you are wearin  the latest fashion tryin  to be happy  do not you know   tryin  to be happy  happy  big white  big white mansion  big white mansion  at the top of the road you and me wearin  versace  gucci  latest fashion  hoochies  they all wanna do me  happy  do not you know   but am i really happy  big white mansion yeah  maybe one day  yo  anita ","white mansion",1996,"Emancipation",NA,NA,NA,"1990s","Uncharted","Uncharted"
"86",636,"i had everything i needed but now my life is so blue you meant the world to me but now you are gone and i am so blue even though the sun is shining i spend my day  i spend my day crying over you oh yeah  i spend my day crying over you i feel just like the sky  oh  so blue oh baby  do not you know  baby do not you know  i spend my nights  it all alone talking to myself  i am so blue and everyday the feeling gets stronger and who to say  just how much longer i can spend my nights all alone talking to myself and just crying over you i guess i will just spend my life so  so blue","so blue",1978,"For You",NA,NA,NA,"1970s","Uncharted","Uncharted"
"87",777,"i am violet the organ grinder and i grind all the live long day i live for the organ  that i am grinding i will die  but i will not go away i am violet the organ grinder and i grind all the live long day i live for the organ  that i am grinding i will die  but i will not go away ooh  wait a minute i think you better trip on this ooh  wait a minute i think you better trip on this i was on my way to another room when an image of you sweetly appeared in the mirror perhaps you recall  you and i were neatly in the middle of a crystal ball that now serves as a reminder on the wall of you and i the organ grinder in the greatest concert of them all i am violet the organ grinder and i grind all the live long day i live for the organ  that i am grinding i will die  but i will not go away i am violet the organ grinder and i grind all the live long day i live for the organ  that i am grinding i will die  but i will not go away did you know that i still have your stockings  i keep  em in a drawer next to your brazier come hither  my sweet  lend me your attention come hither lend my your ear i do believe that my piano was stolen i do believe that you want me near well i can deal with a sucker if he in your mouth but i can not deal with insincere i am the one that lives in your heart you love me  no matter what you say swear you do not miss the organ grinder grinding on you every day i am violet the organ grinder  i am violet the organ grinder  and i grind all the live long day  and i grind all the live long day   check this out  ooh  wait a minute i think you better trip on this i took all the pictures you gave me  and i placed them right under my bed and i pumped and i pumped  til the  gasm much as jumped from my feet to the top of my head  oh boy  i am violet the organ grinder and i grind all the live long day i live for the organ  that i am grinding i will die  but i will not go away i am violet the organ grinder and i grind all the live long day i live for the organ  that i am grinding i will die  but i will not go away ooh  wait a minute i think you better trip on this like a puppy  i licked your devotion from your neck from your eyes from your ears when you cry  i became your emotion and if you ever cry like that again i will be here  cause i am violet the organ grinder and i grind all the live long day i live for the organ  that i am grinding i will die  but i will not go away i am violet the organ grinder and i grind all the live long day i live for the organ  that i am grinding i will die  but i will not go away not even peace to the mutha  who turned the   out   peace to the mutha  who turned the   out   i am violet the organ grinder and i grind all the live long day i live for the organ  that i am grinding i will die  but i will not go away","violet the organ grinder",NA,"Other Songs",NA,NA,NA,NA,"Uncharted","Uncharted"
"88",650,"i know you are out there i can feel your eyes on me seen that face a thousand times if only in my dreams i know you really want me i can feel your hands on me i really wanna touch you too in a way i am much too shy to speak and even though i am all alone for what it worth you are somewhere here on earth and i like it i know you are out there i can feel you getting closer to me now i am just wondering what you are waiting for you know i am free in this digital age  you could just page me i know it a rage  but it just do not engage me like the face to face do you want to do this at yours or my place  it been so long since i been with somebody like a million years now you are here on earth you are here  you are here somewhere here on earth i like it  i like it listen i know you hear me like a whisper in your ear you do not have to fear me you are everything i hold so dear i know you already love me you are probably just too cool to say somebody somewhere put you down but that okay  that okay  cuz whenever you feel it time to heal  no  no more as long as i am here on earth","somewhere here on earth",2007,"Planet Earth",NA,NA,NA,"2000s","Uncharted","Uncharted"
"89",482,"prince newpower soul newpower soul 2 the darkness   let there be light  2 the soundman   turn up my voice real tight  2 the n p g    if u in this    s   show me how u all get down   1 2 3  come on  get freaky  let the head bob  x2   we should all come 2gether 2 the newpower soul  get freaky  let the head bob  x2   come on  come on   it will make u feel much better   come on  baby  let go   every while in a great once there comes 2 town a show  that lives up 2 all your funkspectation no matter how high or low  a reason 2 get your freak on in a way u never freaked before  newpower soul lay claim 2 the booty   come on  let go   lemme see u get down   let the head bob  get freaky  let the head bob  come on  come on   we should all come 2gether 2 the newpower soul   lemme see u get down   let the head bob  get freaky  let the head bob  x2   come on  come on   it will make u feel much better   come on  baby  let go   every while in a day twice funky matters in our ear  as long as we keep our love strong  we will never shed no tears  the brothas be threatenin  2 jump off buildings  newpower what they fear  love 4 one another risin   newpower soul is here   lemme see u get down   let the head bob  get freaky  let the head bob  come on   we should all come 2gether 2 the newpower soul  come 2gether    lemme see u get down   let the head bob  get freaky  let the head bob  come on  come on   it will make u feel much better  feel better    come on  baby  let go   newpower soul   we should all   repeat sample   gemini rising on the 7th day  makin  mad sex  until u re in my arms  ok   cuz when u love somebody like that  it cool  u gots no need 4 the shoo bed ooh bed ooh  the good life  yeah  we will be livin   pushin  up on every freak this side of heaven  come on  come on  shake it  come on  u know i be the one with the funky music  hon   and i am layin  phat claims 2 the booty  phat claims 2 the newpower booty  keepin  the crowd movin   y all  is my one and only duty  ooh wee   with the newpower soul  right on  we should all  we  we should all  every while in the day 3 times my brother hit me on the one  get freaky   abuse like that will either make u funky or make u wanna buy a gun   we  we should all   i would much rather get my freak on and make u if i can  newpower soul lay claim 2 the booty   come on girl  let jam   get freaky  let your head bob  get freaky  let your head bob   we should all come 2gether 2 the newpower soul  come 2gether   come on  get your freak on  it will make u feel much better   come on  baby  let go    lemme see u get down   oh   yeah  yeah  yeah  come on horns  freak on  yeah  we should all come 2gether   right on  everybody coming 2 the newpower soul  let the head bob  get freaky  let the head bob  yeah    lemme see u get down   we should all come 2gether 2 the newpower soul  come on    2 the newpower soul   let the head bob  get freaky  let the head bob  yeah  well come on    lemme see u get down   we should all come 2gether 2 the newpower soul  come 2gether   right on  lemme see u get down  newpower soul","newpower soul",1998,"Newpower Soul",NA,NA,NA,"1990s","Uncharted","Uncharted"
"90",4,"prince miscellaneous 2020 the year is 2020  and in the club   love4oneanother  students dance 2 the heartbeat of the drum  3000 or more dance on the dance floor  same aesthetics   everyone  taste the color  smell the fun  the force of nature is what brought us here  the walls between us soon all disappear  the year is 2020 and there no more fear  can u see this   mm hmm   peace and happy people   mm hmm ","2020",NA,"Other Songs",NA,NA,NA,NA,"Uncharted","Uncharted"
"91",387,"prince miscellaneous just a little lovin  carmen   what u gonna play now     tasty   repeat throughout song in bg    let me      just a little lovin  early in the mornin   mmm  mmm  flavors   so many flavors 2 choose from  all delectable in their way  it very hard 2 choose just one  so as i think slowly and try 2 decide  out of all the lovely treats  just which one am i   it hard 2 say cuz i am a special blend  people will try 2 put me in  a category 4 which there is no room 4 expansion  do not u see that move is doubtful   because the fruit is bountiful  turn me over slowly and i guarantee a mouthful  just a little lovin  early in the mornin   easy does it  take your time  tasty   now u know the meaning of the line  just a little lovin  early in the mornin   and now that u have had a taste  could u waste a dropful   of a nectar so sweet guaranteed 2 keep u youthful  a hot tasty hors d oeuvre  or better yet  what would u prefer   hot fudge over ice   topped with whipped     passion is in the fruit and i can not stand it  if it could be bottled  people would be demanding it  and that would be just 2 scandalous  just a little lovin  early in the mornin   so as i simmer basted with a touch of honey 2 give me a glimmer  or should i say shimmer of sweetness  pound 4 pound i can see no weakness   oh glory  glory 2 the father  if u think u are praising me then do not even bother  excuse me  i do not think they heard me  turn it up a little louder  cool   here we go  just a little lovin  early in the mornin   hmmm  i am feelin  effervescent  refreshed  lively  never mind   girlfriend over there who despises me  she does not even know my name  that ok  u should have an attitude when u play this game  these days it very hard 2 be chosen  cuz most of us try 2 play like ice cubes frozen  but that will get u nut n  honey  guitar man  give me something yummy  just a little lovin  early in the mornin   x3   so as the aromas fill the room  and the smell of sugar and cinnamon looms  aromatic in its blend  and there plenty 4 u 2 choose from on the menu my friends  so take your time  and every now and then try something different and u will find  variety is the spice of life that keeps it finger lickin   ah  that was not no ordinary chicken  ha  ha  ha  u better believe it  and at this moment i think it time i release it  peace  mmm   just a little lovin  early in the mornin    let me kick it   just a little lovin  early in the mornin ","just a little lovin",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"92",420,"stop telling me what you want me to hear stop telling me what you want me to fear stop trippin  on something you overheard love is winning without a word stop giving me your wish list love is free from all this like a bird flyin  over the hilltops love is like the sky  you know it never stops from the abundance of the heart the mouth speaks love is whatever  whatever you want it to be love is not a game  you can play on the floor you gotta stop keepin  score if you wanna  if you want to play me like you did before you better stop and walk out the door you can skate around the issue if you like but who gonna get you high in the middle of the night  like a bird flyin  over the hilltops love is like the sky  you know it never stops from the abundance of the heart the mouth speaks love is whatever  whatever you want it to be i see you standing with your back on the wall you better  better get your hands up and clap if that all and uh  if you do not wanna get yours  then let me get mine see  ai not gonna be no drama  cause we have a good time what the point of giving me ultimatums  smiling at my friends when u really hate  em trying to convince me that eye should too what the point  stop worryin  about what people say when it ai not gonna  ai not gonna stop them anyway love can do anything if you try come on  spread your wings and let fly  fly so high flyin  over the hilltops love is like the sky  you know it never stops from the abundance of the heart the mouth speaks love is whatever  whatever  whatever like a bird flyin  over the hilltops love is like the sky  you know it never stops from the abundance of the heart the mouth speaks love is whatever  whatever you want it to be whatever you want it to be  whatever you want it to be  whatever you want it to be  alright let skate come on  i see you standing with your back on the wall better get your hands up and clap if that all if you do not wanna get yours  then let me get mine see  ai not gonna be no drama  cause we have a good time bounce aww  shake that thing  c amon ahh  bounce it baby aww  shake that thing c amon good god","love",2006,"3121",NA,NA,NA,"2000s","Uncharted","Uncharted"
"93",91,"prince miscellaneous bedtime story time 2 sleep  but i am not sleepy yet  close my eyes  but dreamland not a sure bet  do not go  chorus   stay with me  tell me a bedtime story  long ago there was a princess  she was so fine  she was all alone  4 her prince  he never had no time  u can hear her crying  chorus  do not go  stay with me  please talk 2 me  far away i want 2 go  and start my life all over  instead  i will stay  maybe i will find a 4 leaf clover  stay with me  tell me a bedtime story  yeah  chorus  goodnight","bedtime story",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"94",483,"prince miscellaneous next time wipe the lipstick off your collar u do not have 2 send me flowers like u used 2 do  u do not have 2 buy me candy  i will still be your fool  all i ask is 4 a little decency and class  next time wipe the lipstick off your collar  u do not have 2 take me dancing  our backyard will do  we do not have 2 eat 2 fancy  hamburgers are cool  i do not care if u stay out until the break of dawn  next time wipe the lipstick off your collar  ca not u understand i want a true love man   ca not u comprehend i want a lover  not a friend   i do not care 4 sugar coated flattery  french kiss will suffice  blame our sex on your run down battery  holding u is nice  i know when u are lying baby  there no need 2 s   there no need 2 shout  next time wipe the lipstick off your collar  if u were not so tired baby  we would be on the floor  we would be makin  love right now  ooh  next time wipe the lipstick off your collar","next time wipe the lipstick off your collar",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"95",42,"prince miscellaneous about prince   the hits  new songs prince lyric transcription team           presents                                            prince   the hits  new songs                                     prince new songs mixes from the hits 1   2 and the b sides year  1993 us chart info     pop black r b                                 the hits the b sides    19 6 the hits 1     46 14  pink cashmere     50 14 the hits 2     54 23  peach      107 66 contents  nothing compares 2 u  the hits live mix    pink cashmere   peach   pope   4 the tears in your eyes  video mix    power fantastic    c 1999 prince lyric transcription team   email  protected  ","about prince  the hits new songs",NA,NA,NA,NA,NA,NA,"Uncharted","Uncharted"
"96",221,"dead like elvis  check  check  1 2  check you know what he sayin   face down  face down somebody once told him that he would not take prince through the ringer let him go down as a washed up singer ai not that a    thinkin  all along that he wanted to be rich never respected the root of all evil and he still do not to this day bury him face down  let the   ers kiss ass  okay face down  face down told  em he wanted to sing a song about a black child goin  buck wild and they just laughed in his face talk to your lawyer but you got no case what you need to do is keep your place next time you pull a card  it better be a ace   er or you can lay face down  face down  1 2  face down  1 2 him and her meaning who i am singin  about and his psychoanalyst kinda saw the catalyst as the devil with the blue jeans on ai not it kinda funny when you see the dawn  sign the name they gave ya but when them   ers turn around ass up  you are what  face down  1 2  face down new power generation in the house  bury  em all face down  yes  oh lord  face down face down  face down it in his will  i read it  he shot to kill  he said it for those who know the number and do not call   all y all face down  face down  face down","face down",1996,"Emancipation",NA,NA,NA,"1990s","Uncharted","Uncharted"
"97",252,"look outside your window  tell me now what you see comin  up the mountain for a new philosophy every single color  every race and ever creed lookin  for the truth y all that gonna set somebody free get on the boat  get on the boat  people get on the boat now  we got room for a hundred more get on the boat  get on the boat  people get on the boat now  we got room for a hundred more all across the nation  people doin  what they can to avoid the tribulation that will be great throughout the land everything in darkness must come out into the light when we love each other  that the only way that gonna be right get on the boat  get on the boat  people get on the boat now  we got room for a hundred more get on the boat  get on the boat  people get on the boat now  we got room for a hundred more good god  say it again  bridge  we were meant to live together underneath the sun  i can not think of nothing better do not you wanna come  get on the boat never mind what time it is  the party just begun no te alejes de este momento de inspiracion you can let your hair down  let the music move your feet panamama bring the drama  dancin  to the beat  maceo what the harm in listenin  to the hopeful words we say  if it moves your heart  you know you better get in without delay get on the boat  get on the boat  people get on the boat now  we got room for a hundred more dance to the beat  ray  ray  ray  lead line  horns  hit me now get on the boat  get on the boat  people get on the boat now  we got room for a hundred more get on the boat  get on the boat  people get on the boat now  we got room for a hundred more we were meant to live together underneath the sun i can not think of nothing better  do not you wanna come  get on the boat  ooh yeah get on the boat  get on the boat  people get on the boat now  we got room for a hundred more get on the boat  get on the boat  people get on the boat now  we got room for a hundred more get on the boat  get on the boat  people get on the boat now  we got room for a hundred more get on the boat  get on the boat  people get on the boat now  we got room for a hundred more good lord  lead line  lead line ca not stand it  keep it going  keep it going","get on the boat",2006,"3121",NA,NA,NA,"2000s","Uncharted","Uncharted"
